filename,date,year,month,day,issue_number,url,local_path,status,size_bytes,error
kev_20141014_23.pdf,2014-10-14,2014,10,14,23,https://koszeg.hu/pictures/koszeg/kev/kev_20141014_23.pdf,koszeg_es_videke_archive\pdf\2014\kev_20141014_23.pdf,downloaded,10937219,
kev_20141111_24.pdf,2014-11-11,2014,11,11,24,https://koszeg.hu/pictures/koszeg/kev/kev_20141111_24.pdf,koszeg_es_videke_archive\pdf\2014\kev_20141111_24.pdf,downloaded,8188829,
kev_20141216_25.pdf,2014-12-16,2014,12,16,25,https://koszeg.hu/pictures/koszeg/kev/kev_20141216_25.pdf,koszeg_es_videke_archive\pdf\2014\kev_20141216_25.pdf,downloaded,8551491,
kev_20150120_26.pdf,2015-01-20,2015,1,20,26,https://koszeg.hu/pictures/koszeg/kev/kev_20150120_26.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150120_26.pdf,downloaded,7408901,
kev_20150217_27.pdf,2015-02-17,2015,2,17,27,https://koszeg.hu/pictures/koszeg/kev/kev_20150217_27.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150217_27.pdf,downloaded,11517809,
kev_20150317_28.pdf,2015-03-17,2015,3,17,28,https://koszeg.hu/pictures/koszeg/kev/kev_20150317_28.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150317_28.pdf,downloaded,10673422,
kev_20150414_29.pdf,2015-04-14,2015,4,14,29,https://koszeg.hu/pictures/koszeg/kev/kev_20150414_29.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150414_29.pdf,downloaded,10253686,
kev_20150512_30.pdf,2015-05-12,2015,5,12,30,https://koszeg.hu/pictures/koszeg/kev/kev_20150512_30.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150512_30.pdf,downloaded,9961103,
kev_20150616_31.pdf,2015-06-16,2015,6,16,31,https://koszeg.hu/pictures/koszeg/kev/kev_20150616_31.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150616_31.pdf,downloaded,10263493,
kev_20150714_32.pdf,2015-07-14,2015,7,14,32,https://koszeg.hu/pictures/koszeg/kev/kev_20150714_32.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150714_32.pdf,downloaded,10379234,
kev_20150813_33.pdf,2015-08-13,2015,8,13,33,https://koszeg.hu/pictures/koszeg/kev/kev_20150813_33.pdf,koszeg_es_videke_archive\pdf\2015\kev_20150813_33.pdf,downloaded,10334858,
